X,EWE,COMNAME,SCINAME,SVSPP,EMAX,MIN,MAX
1,Alosines,HERRING UNCL,CLUPEIDAE,30,NA,0,1000
2,Alosines,ALEWIFE,ALOSA PSEUDOHARENGUS,33,NA,0,1000
3,Alosines,BLUEBACK HERRING,ALOSA AESTIVALIS,34,NA,0,1000
4,Alosines,AMERICAN SHAD,ALOSA SAPIDISSIMA,35,NA,0,1000
5,Anchovies,BAY ANCHOVY,ANCHOA MITCHILLI,43,NA,0,1000
6,Anchovies,STRIPED ANCHOVY,ANCHOA HEPSETUS,44,NA,0,1000
7,Atlantic croaker,ATLANTIC CROAKER,MICROPOGONIAS UNDULATUS,136,BC,0,1000
8,Atlantic herring,ATLANTIC HERRING,CLUPEA HARENGUS,32,NA,0,1000
9,Atlantic mackerel,ATLANTIC MACKEREL,SCOMBER SCOMBRUS,121,NA,0,1000
10,Butterfish,BUTTERFISH,PEPRILUS TRIACANTHUS,131,NA,0,1000
11,Demersal benthivores - other,ATLANTIC HAGFISH,MYXINE GLUTINOSA,1,BO,0,1000
12,Demersal benthivores - other,ROUGHTAIL STINGRAY,DASYATIS CENTROURA,4,BE,0,1000
13,Demersal benthivores - other,ROUGH SAGRE,ETMOPTERUS PRINCEPS,8,BE,0,1000
14,Demersal benthivores - other,BLUNTNOSE STINGRAY,DASYATIS SAY,18,BE,0,1000
15,Demersal benthivores - other,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI,19,BE,0,1000
16,Demersal benthivores - other,ATLANTIC TORPEDO,TORPEDO NOBILIANA,21,BE,0,1000
17,Demersal benthivores - other,SOUTHERN STINGRAY,DASYATIS AMERICANA,29,BE,0,1000
18,Demersal benthivores - other,BLUE HAKE,ANTIMORA ROSTRATA,81,BG,0,1000
19,Demersal benthivores - other,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS,83,BG,0,1000
20,Demersal benthivores - other,CUSK,BROSME BROSME,84,BG,0,1000
21,Demersal benthivores - other,THREEBEARD ROCKLING,GAIDROPSARUS ENSIS,85,BG,0,1000
22,Demersal benthivores - other,DEEPWATER DAB,POECILOPSETTA BEANI,98,BP,0,1000
23,Demersal benthivores - other,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES,102,BP,0,1000
24,Demersal benthivores - other,FOURSPOT FLOUNDER,PARALICHTHYS OBLONGUS,104,BP,0,1000
25,Demersal benthivores - other,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,106,BP,0,1000
26,Demersal benthivores - other,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS,107,BP,0,1000
27,Demersal benthivores - other,WINDOWPANE,SCOPHTHALMUS AQUOSUS,108,BP,0,1000
28,Demersal benthivores - other,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS,109,BP,0,1000
29,Demersal benthivores - other,DEEPWATER FLOUNDER,MONOLENE SESSILICAUDA,110,BP,0,1000
30,Demersal benthivores - other,SMALLMOUTH FLOUNDER,ETROPUS MICROSTOMUS,117,BP,0,1000
