"Region","EWE","YEAR","Tot.biomass","AREA","kg.km2"
"gb.deep","Alosines",1963,1188190.44940115,29723.548064,39.9747179186944
"gb.deep","Atlantic herring",1963,129285901.366468,29723.548064,4349.61200083157
"gb.deep","Atlantic mackerel",1963,139992.739712302,29723.548064,4.70982600767825
"gb.deep","Butterfish",1963,6499962.16899093,29723.548064,218.6805611159
"gb.deep","Demersal benthivores - other",1963,49638732.2397174,29723.548064,1670.0136919333
"gb.deep","Demersal piscivores - other",1963,38568342.2013988,29723.548064,1297.56858496013
"gb.deep","Haddock",1963,184604608.152465,29723.548064,6210.7191158666
"gb.deep","Mesopelagics",1963,128398.098958333,29723.548064,4.31974334564197
"gb.deep","Skates",1963,130810810.616539,29723.548064,4400.91507026283
"gb.deep","Small pelagic - other",1963,1382616.24970238,29723.548064,46.5158549284011
"gb.deep","Squid",1963,0,29723.548064,0
"gb.deep","Spiny dogfish (S)",1963,5004016.00729675,29723.548064,168.351907266327
"gb.deep","Spiny dogfish (L)",1963,9076960.62333718,29723.548064,305.379445407826
"gb.deep","Hakes (S)",1963,49868593.6146293,29723.548064,1677.74700070306
"gb.deep","Hakes (L)",1963,20434269.5358307,29723.548064,687.477467085426
"gb.deep","Atlantic cod (M)",1963,3229884.72293291,29723.548064,108.664171450138
"gb.deep","Atlantic cod (L)",1963,45413105.0353544,29723.548064,1527.84939865093
"gb.deep","Yellowtail flounder (S)",1963,287515.275501828,29723.548064,9.6729796484174
"gb.deep","Yellowtail flounder (L)",1963,26410719.0542575,29723.548064,888.545304126902
"gb.deep","Alosines",1964,1160120.6384596,29723.548064,39.0303551904925
"gb.deep","Atlantic herring",1964,19366929.1172222,29723.548064,651.568550144883
"gb.deep","Butterfish",1964,21211710.4695238,29723.548064,713.633191564186
"gb.deep","Demersal benthivores - other",1964,24559439.3533932,29723.548064,826.262036433619
"gb.deep","Demersal piscivores - other",1964,50917656.4627668,29723.548064,1713.04099877754
"gb.deep","Haddock",1964,479320502.19525,29723.548064,16125.9517592984
"gb.deep","Mesopelagics",1964,0,29723.548064,0
"gb.deep","Skates",1964,107886840.460501,29723.548064,3629.67571126439
"gb.deep","Small pelagic - other",1964,59174.7760416667,29723.548064,1.99083823755673
"gb.deep","Squid",1964,6479536.10875397,29723.548064,217.993359837204
"gb.deep","Spiny dogfish (S)",1964,198950.13075433,29723.548064,6.69335068363827
"gb.deep","Spiny dogfish (L)",1964,7202287.62180985,29723.548064,242.30914850078
"gb.deep","Hakes (S)",1964,15042885.2901497,29723.548064,506.093191087407
"gb.deep","Hakes (L)",1964,6417213.56098279,29723.548064,215.896619985118
"gb.deep","Atlantic cod (M)",1964,1655424.87104752,29723.548064,55.6940533304806
"gb.deep","Atlantic cod (L)",1964,32476760.1253287,29723.548064,1092.62730194257
"gb.deep","Yellowtail flounder (S)",1964,114385.605622312,29723.548064,3.84831600103794
"gb.deep","Yellowtail flounder (L)",1964,33171739.3355764,29723.548064,1116.0087370509
"gb.deep","Alosines",1965,921396.164844877,29723.548064,30.9988620086993
"gb.deep","Atlantic herring",1965,60142626.5565476,29723.548064,2023.39997994351
"gb.deep","Atlantic mackerel",1965,1041386.73791667,29723.548064,35.0357479421494
"gb.deep","Butterfish",1965,1329656.53408163,29723.548064,44.7341122001536
"gb.deep","Demersal benthivores - other",1965,30766275.9224264,29723.548064,1035.080867741
"gb.deep","Demersal piscivores - other",1965,40534860.8358107,29723.548064,1363.72887747223
"gb.deep","Haddock",1965,249279142.116109,29723.548064,8386.58768392546
"gb.deep","Mesopelagics",1965,0,29723.548064,0
"gb.deep","Skates",1965,120285981.163103,29723.548064,4046.82445393483
"gb.deep","Small pelagic - other",1965,76145.6552083333,29723.548064,2.56179561889376
"gb.deep","Squid",1965,19846236.7217887,29723.548064,667.694067984625
