SPECIES_ITIS,NESPP3,COMMON_NAME,SCIENTIFIC_NAME
164744,148,HADDOCK,MELANOGRAMMUS AEGLEFINUS
169058,149,TOMTATE,HAEMULON AUROLINEATUM
159753,150,HAGFISH,MYXINIDAE
164730,152,"HAKE,ATLANTIC,RED",UROPHYCIS CHUSS
164732,153,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS
164732,154,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS
164729,155,"HAKE,ATLANTIC,RED & WHITE",UROPHYCIS
172930,158,"HALIBUT,GREENLAND",REINHARDTIUS HIPPOGLOSSOIDES
172933,159,"HALIBUT,ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS
553172,164,HALFBEAKS,HEMIRAMPHIDAE
172564,165,HARVESTFISHES,PEPRILUS 
172570,165,HARVESTFISH,PEPRILUS ALEPIDOTUS
161743,166,"HERRING,ROUND",ETRUMEUS TERES
161700,167,"HERRINGS,UNC",CLUPEIDAE
161722,168,"HERRING,ATLANTIC,SEA",CLUPEA HARENGUS
161755,169,"SARDINE,SCALED",HARENGULA JAGUANA
161701,170,"HERRING,RIVER",ALOSA
162057,171,HERRING SMELT,ARGENTINIDAE
161763,172,"SARDINE,SPANISH",SARDINELLA AURITA
161704,173,"SHAD,HICKORY",ALOSA MEDIOCRIS
161748,174,"HERRING,ATLANTIC THREAD",OPISTHONEMA OGLINUM
170566,179,HOGFISH,LACHNOLAIMUS MAXIMUS
168689,181,"AMBERJACK,GREATER",SERIOLA DUMERILI
168690,182,"AMBERJACK,LESSER",SERIOLA FASCIATA
166283,188,JOHN DORY,ZENOPSIS OCELLATA
166271,189,"DORY,NK",ZEIFORMES
172435,194,"MACKEREL,KING",SCOMBEROMORUS CAVALLA
169276,196,"KINGFISH,NORTHERN",MENTICIRRHUS SAXATILIS
169273,197,KING WHITING,MENTICIRRHUS
171671,206,LAUNCES,AMMODYTES
171673,206,"LANCE,AMERICAN SAND",AMMODYTES AMERICANUS
167612,210,LUMPFISH,CYCLOPTERUS LUMPUS
172414,212,"MACKEREL,ATLANTIC",SCOMBER SCOMBRUS
168612,213,BLUE RUNNER,CARANX CRYSOS
168615,214,"JACK,BAR",CARANGOIDES RUBER
172413,215,"MACKEREL,CHUB",SCOMBER COLIAS
172499,216,"MARLIN,WHITE",TETRAPTURUS ALBIDUS
172491,217,"MARLIN,BLUE",MAKAIRA NIGRICANS
172486,218,"MARLIN,UNC",ISTIOPHORIDAE
172488,219,SAILFISH,ISTIOPHORUS PLATYPTERUS
161731,221,MENHADEN,BREVOORTIA
163342,223,MINNOWS,CYPRINIDAE 
170333,234,MULLETS,MUGILIDAE
170335,235,"MULLET,STRIPED",MUGIL CEPHALUS
169406,236,"MULLET,RED (GOATFISH)",MULLIDAE
165647,237,MUMMICHOG,FUNDULUS HETEROCLITUS
166774,240,"REDFISH,ACADIAN",SEBASTES FASCIATUS
166787,242,BLACK BELLIED ROSEFISH,HELICOLENUS DACTYLOPTERUS
166781,243,"REDFISH,GOLDEN",SEBASTES NORVEGICUS
166326,249,OPAH,LAMPRIS GUTTATUS
630979,250,OCEAN POUT,ZOARCES AMERICANUS
165296,251,"POUT,ATLANTIC SOFT",MELANOSTIGMA ATLANTICUM
162212,252,"HATCHETFISHES,DEEPSEA",STERNOPTYCHIDAE
164807,253,"EELS,CUSK",OPHIDIIDAE
169077,258,PIGFISH,ORTHOPRISTIS CHRYSOPTERA
169187,267,PINFISH,LAGODON RHOMBOIDES
161111,268,LADYFISH,ELOPS SAURUS
164727,269,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS
164727,270,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS
170287,271,POMFRETS,BRAMIDAE
168708,272,POMPANO,TRACHINOTUS CAROLINUS
160985,285,"RAY,COWNOSE",RHINOPTERA BONASUS
160946,286,STINGRAYS,DASYATIDAE 
564407,287,"RAY,SICKLEFIN (CHILEAN) DEVIL",MOBULA TARAPACANA
