SVSPP,scientific_name,ITISSPP,NESPP3,SPECIES_ITIS,COMMON_NAME,SCIENTIFIC_NAME
69,Merluccius albidus,164793,508,164793,"HAKE,OFFSHORE UNC (WHITING,BLACK)",MERLUCCIUS ALBIDUS
72,Merluccius bilinearis,164791,509,164791,"HAKE,SILVER (WHITING)",MERLUCCIUS BILINEARIS
73,Gadus morhua,164712,81,164712,"COD,ATLANTIC",GADUS MORHUA
73,Gadus morhua,164712,82,164712,"COD,ATLANTIC",GADUS MORHUA
74,Melanogrammus aeglefinus,164744,147,164744,HADDOCK,MELANOGRAMMUS AEGLEFINUS
74,Melanogrammus aeglefinus,164744,148,164744,HADDOCK,MELANOGRAMMUS AEGLEFINUS
75,Pollachius virens,164727,269,164727,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS
75,Pollachius virens,164727,270,164727,"POLLOCK,ATLANTIC",POLLACHIUS VIRENS
76,Urophycis tenuis,164732,153,164732,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS
76,Urophycis tenuis,164732,154,164732,"HAKE,ATLANTIC,WHITE",UROPHYCIS TENUIS
77,Urophycis chuss,164730,152,164730,"HAKE,ATLANTIC,RED",UROPHYCIS CHUSS
78,Urophycis regia,164731,662,164731,"HAKE,SPOTTED",UROPHYCIS REGIA
81,Antimora rostrata,164672,664,NA,NA,NA
83,Enchelyopus cimbrius,164748,526,161030,"FISH,OTHER",OSTEICHTHYES
84,Brosme brosme,164740,96,164740,CUSK,BROSME BROSME
92,Macrourus berglax,165421,137,NA,NA,NA
99,Reinhardtius hippoglossoides,172930,158,172930,"HALIBUT,GREENLAND",REINHARDTIUS HIPPOGLOSSOIDES
101,Hippoglossus hippoglossus,172933,159,172933,"HALIBUT,ATLANTIC",HIPPOGLOSSUS HIPPOGLOSSUS
102,Hippoglossoides platessoides,172877,124,172877,"FLOUNDER,PLAICE,AMERICAN (DAB)",HIPPOGLOSSOIDES PLATESSOIDES
103,Paralichthys dentatus,172735,121,172735,"FLOUNDER,SUMMER (FLUKE)",PARALICHTHYS DENTATUS
104,Paralichthys oblongus,172739,127,172739,"FLOUNDER,FOURSPOT",PARALICHTHYS OBLONGUS
105,Limanda ferruginea,172909,123,172909,"FLOUNDER,YELLOWTAIL",LIMANDA FERRUGINEA
106,Pseudopleuronectes americanus,172905,119,172905,"FLOUNDER,WINTER",PSEUDOPLEURONECTES AMERICANUS
106,Pseudopleuronectes americanus,172905,120,172905,"FLOUNDER,WINTER",PSEUDOPLEURONECTES AMERICANUS
107,Glyptocephalus cynoglossus,172873,122,172873,"FLOUNDER,WITCH (GRAY SOLE)",GLYPTOCEPHALUS CYNOGLOSSUS
108,Scophthalmus aquosus,172746,125,172746,"FLOUNDER,SAND DAB (WINDOWPANE)",SCOPHTHALMUS AQUOSUS
109,Citharichthys arctifrons,172719,129,172719,"FLOUNDER,GULF STREAM",CITHARICHTHYS ARCTIFRONS
112,Zenopsis conchifera,166283,188,166283,JOHN DORY,ZENOPSIS OCELLATA
113,Menidia menidia,165994,362,165994,"SILVERSIDE,ATLANTIC",MENIDIA MENIDIA
114,Synagrops bellus,168335,291,NA,NA,NA
116,Syngnathus fuscus,166451,526,161030,"FISH,OTHER",OSTEICHTHYES
118,Trinectes maculatus,172982,128,172982,HOGCHOKER,TRINECTES MACULATUS
121,Scomber scombrus,172414,212,172414,"MACKEREL,ATLANTIC",SCOMBER SCOMBRUS
123,Sarda sarda,172409,33,172409,"BONITO,ATLANTIC",SARDA SARDA
124,Scomber japonicus,172412,215,172413,"MACKEREL,CHUB",SCOMBER COLIAS
126,Trichiurus lepturus,172385,99,172385,"CUTLASSFISH,ATLANTIC",TRICHIURUS LEPTURUS 
129,Caranx crysos,168612,213,168612,BLUE RUNNER,CARANX CRYSOS
131,Peprilus triacanthus,172567,51,172567,BUTTERFISH,PEPRILUS TRIACANTHUS
133,Selene vomer,168680,526,161030,"FISH,OTHER",OSTEICHTHYES
134,Priacanthus arenatus,168178,526,161030,"FISH,OTHER",OSTEICHTHYES
135,Pomatomus saltatrix,168559,23,168559,BLUEFISH,POMATOMUS SALTATRIX
