SVSPP,scientific_name,ITISSPP,NESPP3
156,Helicolenus dactylopterus,166787,242
158,Antigonia capros,166311,NA
161,Triglops murrayi,167375,NA
162,Myoxocephalus scorpius,167318,NA
163,Myoxocephalus octodecemspinosus,167320,326
163,Myoxocephalus octodecemspinosus,167320,326
164,Hemitripterus americanus,167289,327
164,Hemitripterus americanus,167289,327
165,Aspidophoroides monopterygius,167439,NA
166,Myoxocephalus aenaeus,167321,NA
167,Liparis inquilinus,167577,NA
168,Cyclopterus lumpus,167612,210
169,Eumicrotremus spinosus,167545,NA
170,Liparis atlanticus,167576,NA
171,Prionotus carolinus,166974,340
172,Prionotus evolans,166975,342
173,Peristedion miniatum,167010,343
175,Dactylopterus volitans,167624,NA
176,Tautogolabrus adspersus,170481,93
177,Tautoga onitis,170479,438
179,Astroscopus guttatus,171055,31
180,Pholis gunnellus,171645,514
181,Ammodytes dubius,171674,NA
182,Lumpenus lumpretaeformis,171588,NA
183,Lumpenus maculatus,171584,NA
184,Ulvaria subbifurcata,171616,NA
185,Opsanus tau,164423,451
186,Otophidium omostigmum,164859,NA
187,Mullus auratus,169417,NA
188,Ophidion marginatum,164852,NA
190,Lycenchelys verrilli,165242,NA
191,Cryptacanthodes maculatus,171609,NA
192,Anarhichas lupus,171341,512
193,Macrozoarces americanus,630979,250
194,Lepophidium profundorum,164831,NA
195,Lagocephalus laevigatus,173285,431
196,Sphoeroides maculatus,173290,429
197,Lophius americanus,164499,11
197,Lophius americanus,164499,12
198,Chilomycterus schoepfi,173384,NA
199,Dibranchus atlanticus,164589,NA
201,Monacanthus hispidus,173182,NA
202,Balistes capriscus,173138,456
203,Seriola dumerili,168689,181
204,Seriola zonata,168693,526
205,Scomberesox saurus,165612,319
206,Ogcocephalus corniger,164584,NA
207,Hyperoglyphe perciformis,172512,27
208,Decapterus macarellus,168724,NA
209,Selar crumenophthalmus,168677,76
210,Diaphus dumerili,162594,NA
211,Decapterus punctatus,168725,77
212,Trachurus lathami,168587,331
213,Ariomma bondi,172537,NA
227,Nesiarchus nasutus,172370,NA
228,Stomias boa,162292,NA
229,Maurolicus weitzmani,622356,NA
232,Chlorophthalmus agassizi,162430,NA
234,Gonostoma atlanticum,162183,NA
235,Gonostoma elongatum,162185,NA
237,Polymetme thaeocoryla,622358,NA
239,Benthodesmus simonyi,172380,NA
240,Chauliodus sloani,162281,NA
241,Chauliodus danae,162280,NA
242,Parasudis truculenta,162435,NA
245,Paralepis coregonoides,162493,NA
246,Arctozenus rissoi,644687,NA
250,Argyropelecus aculeatus,162215,NA
251,Polyipnus clarus,622357,NA
260,Careproctus ranula,643676,NA
261,Hoplostethus mediterraneus,166140,NA
262,Melanostigma atlanticum,165296,251
263,Polymixia lowei,166126,22
264,Polymixia nobilis,166127,NA
265,Mola mola,173414,NA
266,Hoplostethus occidentalis,166141,NA
268,Gephyroberyx darwini,166137,NA
270,Rhinoptera bonasus,160985,285
271,Aetobatis narinari,160978,NA
280,Malacocephalus occidentalis,165390,NA
352,Isurus oxyrinchus,159924,355
353,Lamna nasus,159911,481
355,Carcharhinus falciformis,160310,485
360,Rhizoprionodon terraenovae,160200,494
362,Sphyrna lewini,160508,478
375,Gymnura altavela,160961,NA
376,Gymnura micrura,160962,NA
378,Myliobatis goodei,160982,NA
380,Acipenser oxyrhynchus,573257,NA
384,Anguilla rostrata,161127,115
396,Ophichthus puncticeps,161481,NA
428,Opisthonema oglinum,161748,174
429,Sardinella aurita,161763,172
434,Saurida normani,162411,NA
435,Synodus foetens,162376,526
436,Synodus intermedius,162377,NA
437,Synodus poeyi,162379,NA
439,Trachinocephalus myops,162420,NA
440,Alepisaurus ferox,162527,NA
444,Porichthys plectrodon,164421,NA
446,Antennarius radiosus,164525,NA
449,Halieutichthys aculeatus,164594,NA
450,Ogcocephalus nasutus,164576,NA
451,Ogcocephalus parvus,164578,NA
454,Urophycis earllii,164736,NA
455,Urophycis floridana,164737,661
458,Ophidion grayi,164841,NA
459,Ophidion holbrooki,164842,NA
462,Carapus bermudensis,165096,NA
463,Cypselurus cyanopterus,165436,NA
484,Plectrypops retrospinis,166245,NA
486,Antigonia combatia,166312,NA
488,Apeltes quadracus,166397,NA
489,Fistularia petimba,166417,NA
492,Hippocampus erectus,166488,NA
500,Anthias nicholsi,167771,NA
526,Centropristis ocyurus,167690,328
527,Centropristis philadelphica,167691,333
529,Diplectrum bivittatum,167796,NA
530,Diplectrum formosum,167793,311
536,Epinephelus nigritus,167704,141
537,Epinephelus niveatus,167705,146
539,Hemanthias vivanus,167801,337
541,Mycteroperca microlepis,167759,141
546,Hemanthias aureorubens,167803,NA
549,Serranus atrobranchus,167851,NA
552,Serranus phoebe,167857,NA
556,Priacanthus cruentatus,168179,NA
557,Pristigenys alta,168190,NA
559,Apogon pseudomaculatus,168207,NA
562,Caulolatilus cyanops,168541,NA
563,Rachycentron canadum,168566,57
564,Echeneis naucrates,168575,NA
567,Remora remora,168571,NA
568,Alectis ciliaris,168602,526
569,Caranx bartholomaei,168606,NA
571,Caranx latus,168610,NA
573,Chloroscombrus chrysurus,168670,NA
576,Naucrates ductor,168742,526
578,Seriola rivoliana,168691,526
584,Coryphaena hippurus,168791,105
592,Lutjanus synagris,168860,NA
595,Pristipomoides aquilonaris,168913,379
596,Rhomboplites aurorubens,168909,374
599,Eucinostomus gula,169016,NA
601,Etmopterus gracilispinis,160669,NA
616,Cookeolus japonicus,168195,NA
617,Xenolepidichthys dalgleishi,166302,NA
621,Caulolatilus microps,168543,444
622,Caulolatilus chrysops,168544,443
