Time,EPU,Total,Value,Var,Units
2006,GB,589.9530122807947,589953012.2807947,Total,USD
2006,GOM,246.20423995956665,246204239.95956665,Total,USD
2007,GB,452.5129411570385,452512941.1570385,Total,USD
2007,GOM,633.2724651169486,633272465.1169486,Total,USD
2008,GB,339.3619917501033,339361991.7501033,Total,USD
2008,GOM,596.6897739357912,596689773.9357913,Total,USD
2009,GB,337.33635484540986,337336354.84540987,Total,USD
2009,GOM,568.5076026230141,568507602.6230141,Total,USD
2010,GB,358.49731651271,358497316.51271,Total,USD
2010,GOM,562.3631739899699,562363173.98997,Total,USD
2011,GB,466.837669007112,466837669.007112,Total,USD
2011,GOM,634.9737848928291,634973784.8928292,Total,USD
2012,GB,646.0191859317143,646019185.9317143,Total,USD
2012,GOM,630.5060967875116,630506096.7875116,Total,USD
2013,GB,598.4481176350565,598448117.6350565,Total,USD
2013,GOM,687.007027381295,687007027.381295,Total,USD
2014,GB,380.9807660690732,380980766.0690732,Total,USD
2014,GOM,705.0295025477928,705029502.5477928,Total,USD
2015,GB,357.5401262120616,357540126.2120616,Total,USD
2015,GOM,788.6460807810255,788646080.7810255,Total,USD
2016,GB,324.91482617309464,324914826.17309463,Total,USD
2016,GOM,839.5740219993835,839574021.9993834,Total,USD
2017,GB,403.32447157223874,403324471.57223874,Total,USD
2017,GOM,709.2815245508529,709281524.5508529,Total,USD
2018,GB,586.7899880755879,586789988.0755879,Total,USD
2018,GOM,780.1443133341395,780144313.3341395,Total,USD
2019,GB,582.7618771150775,582761877.1150775,Total,USD
2019,GOM,740.901393540535,740901393.540535,Total,USD
2020,GB,366.660876973127,366660876.973127,Total,USD
2020,GOM,607.1627379429605,607162737.9429605,Total,USD
2021,GB,629.290886785212,629290886.785212,Total,USD
2021,GOM,881.1110758523192,881111075.8523192,Total,USD
2022,GB,435.4960283811848,435496028.38118476,Total,USD
2022,GOM,555.0324945241596,555032494.5241596,Total,USD
