Time,EPU,Total,Value,Var,Units
1983,GB,566.284121,566284121,Council Managed,USD
1983,GOM,229.951568,229951568,Council Managed,USD
1984,GB,481.419738,481419738,Council Managed,USD
1984,GOM,202.50212200000001,202502122,Council Managed,USD
1985,GB,382.399232,382399232,Council Managed,USD
1985,GOM,213.034346,213034346,Council Managed,USD
1986,GB,412.745485,412745485,Council Managed,USD
1986,GOM,218.767765,218767765,Council Managed,USD
1987,GB,409.556749,409556749,Council Managed,USD
1987,GOM,211.314637,211314637,Council Managed,USD
1988,GB,404.07901,404079010,Council Managed,USD
1988,GOM,159.419776,159419776,Council Managed,USD
1989,GB,405.842672,405842672,Council Managed,USD
1989,GOM,169.807376,169807376,Council Managed,USD
1990,GB,541.055523,541055523,Council Managed,USD
1990,GOM,179.92456,179924560,Council Managed,USD
1991,GB,521.888699,521888699,Council Managed,USD
1991,GOM,230.42566900000003,230425669.00000003,Council Managed,USD
1992,GB,472.516896,472516896,Council Managed,USD
1992,GOM,213.61725499999997,213617254.99999997,Council Managed,USD
1993,GB,346.2110579999999,346211057.99999994,Council Managed,USD
1993,GOM,207.74976899999993,207749768.99999994,Council Managed,USD
1994,GB,192.97213607239541,192972136.0723954,Council Managed,USD
1994,GOM,179.8927008828758,179892700.8828758,Council Managed,USD
1995,GB,158.83644582654497,158836445.82654497,Council Managed,USD
1995,GOM,173.8184467606629,173818446.7606629,Council Managed,USD
1996,GB,210.16294795209666,210162947.95209667,Council Managed,USD
1996,GOM,181.59145496219548,181591454.9621955,Council Managed,USD
1997,GB,217.55600852343568,217556008.52343568,Council Managed,USD
1997,GOM,155.10847212796227,155108472.12796226,Council Managed,USD
1998,GB,221.68865516320997,221688655.16320997,Council Managed,USD
1998,GOM,137.15918450630733,137159184.50630733,Council Managed,USD
1999,GB,323.42620914576224,323426209.14576226,Council Managed,USD
1999,GOM,109.7860965054191,109786096.50541909,Council Managed,USD
2000,GB,316.08628543719993,316086285.43719995,Council Managed,USD
2000,GOM,127.89076596094237,127890765.96094237,Council Managed,USD
2001,GB,310.9166071364463,310916607.1364463,Council Managed,USD
2001,GOM,131.95609092996506,131956090.92996506,Council Managed,USD
2002,GB,316.2945991045623,316294599.1045623,Council Managed,USD
2002,GOM,131.09489951359689,131094899.51359689,Council Managed,USD
2003,GB,276.080722783088,276080722.78308797,Council Managed,USD
2003,GOM,130.87133465312692,130871334.65312693,Council Managed,USD
2004,GB,275.8697722390812,275869772.2390812,Council Managed,USD
2004,GOM,122.30839340620875,122308393.40620875,Council Managed,USD
2005,GB,470.61524542704984,470615245.4270498,Council Managed,USD
2005,GOM,123.014565640524,123014565.640524,Council Managed,USD
2006,GB,527.2605375706185,527260537.57061845,Council Managed,USD
2006,GOM,99.16676314572548,99166763.14572549,Council Managed,USD
2007,GB,371.7416411049404,371741641.1049404,Council Managed,USD
2007,GOM,94.55955198613998,94559551.98613998,Council Managed,USD
2008,GB,274.12237727394637,274122377.27394634,Council Managed,USD
2008,GOM,109.84511160341634,109845111.60341634,Council Managed,USD
2009,GB,278.91973699145444,278919736.9914544,Council Managed,USD
2009,GOM,95.75064823297691,95750648.23297691,Council Managed,USD
2010,GB,297.0879623144511,297087962.3144511,Council Managed,USD
2010,GOM,91.65809014327853,91658090.14327852,Council Managed,USD
2011,GB,394.77211463262535,394772114.63262534,Council Managed,USD
2011,GOM,96.73022914758326,96730229.14758326,Council Managed,USD
2012,GB,560.6134427331806,560613442.7331806,Council Managed,USD
2012,GOM,104.17886136273269,104178861.3627327,Council Managed,USD
2013,GB,502.350236972122,502350236.972122,Council Managed,USD
2013,GOM,83.87792709208539,83877927.09208539,Council Managed,USD
2014,GB,292.2537382026341,292253738.2026341,Council Managed,USD
2014,GOM,71.9683867685242,71968386.7685242,Council Managed,USD
2015,GB,262.5054673442892,262505467.34428918,Council Managed,USD
2015,GOM,64.89635193330496,64896351.93330496,Council Managed,USD
2016,GB,227.8794462197009,227879446.2197009,Council Managed,USD
2016,GOM,86.52410515412903,86524105.15412903,Council Managed,USD
2017,GB,293.99978930617294,293999789.30617297,Council Managed,USD
2017,GOM,97.90198405246134,97901984.05246134,Council Managed,USD
2018,GB,476.983039279515,476983039.279515,Council Managed,USD
2018,GOM,69.68338367475096,69683383.67475095,Council Managed,USD
2019,GB,475.2677792119991,475267779.21199906,Council Managed,USD
2019,GOM,62.94568783315278,62945687.83315278,Council Managed,USD
2020,GB,272.71476206879373,272714762.0687937,Council Managed,USD
2020,GOM,49.82150034008856,49821500.34008856,Council Managed,USD
2021,GB,544.059911,544059911,Council Managed,USD
2021,GOM,65.27487062817852,65274870.62817852,Council Managed,USD
2022,GB,371.034024,371034024,Council Managed,USD
2022,GOM,75.442263,75442263,Council Managed,USD
1983,GB,648.4645,648464500,Total,USD
1983,GOM,499.25825,499258250,Total,USD
1984,GB,590.892646,590892646,Total,USD
1984,GOM,455.814833,455814833,Total,USD
1985,GB,481.541318,481541318,Total,USD
1985,GOM,471.235288,471235288,Total,USD
1986,GB,509.573468,509573468,Total,USD
1986,GOM,485.679634,485679634,Total,USD
1987,GB,499.411007,499411007,Total,USD
1987,GOM,467.757536,467757536,Total,USD
1988,GB,487.656888,487656888,Total,USD
1988,GOM,411.628575,411628575,Total,USD
1989,GB,526.031381,526031381,Total,USD
1989,GOM,577.0886949999999,577088694.9999999,Total,USD
1990,GB,649.2608149999999,649260814.9999999,Total,USD
1990,GOM,574.687887,574687887,Total,USD
1991,GB,607.150968,607150968,Total,USD
1991,GOM,681.528477,681528477,Total,USD
1992,GB,553.847445,553847445,Total,USD
1992,GOM,668.5337960000003,668533796.0000002,Total,USD
1993,GB,422.053024667892,422053024.667892,Total,USD
1993,GOM,693.689231,693689231,Total,USD
1994,GB,239.38080408547538,239380804.0854754,Total,USD
1994,GOM,679.2504170086246,679250417.0086246,Total,USD
1995,GB,228.80972868842204,228809728.68842205,Total,USD
1995,GOM,720.7856801890327,720785680.1890328,Total,USD
1996,GB,310.3402041246409,310340204.1246409,Total,USD
1996,GOM,698.389707515762,698389707.515762,Total,USD
1997,GB,294.0835063476221,294083506.3476221,Total,USD
1997,GOM,712.0251789574626,712025178.9574625,Total,USD
1998,GB,291.95641934641947,291956419.34641945,Total,USD
1998,GOM,629.4014673470638,629401467.3470638,Total,USD
1999,GB,383.6411233549074,383641123.3549074,Total,USD
1999,GOM,746.6592512750938,746659251.2750938,Total,USD
2000,GB,404.333049377103,404333049.37710303,Total,USD
2000,GOM,620.4322435447345,620432243.5447346,Total,USD
2001,GB,423.2948952038045,423294895.2038045,Total,USD
2001,GOM,590.8210982420006,590821098.2420006,Total,USD
2002,GB,495.89455143673996,495894551.43674,Total,USD
2002,GOM,501.1220744951045,501122074.49510455,Total,USD
2003,GB,507.3029787240359,507302978.72403586,Total,USD
2003,GOM,424.46860855168103,424468608.55168104,Total,USD
2004,GB,476.63481078199914,476634810.7819991,Total,USD
2004,GOM,289.11492631835534,289114926.3183553,Total,USD
2005,GB,558.5711756388837,558571175.6388837,Total,USD
2005,GOM,559.7100283625774,559710028.3625774,Total,USD
