feeding.guild,EPU,Time,Value,grouping,Units,Var
Benthivore,MAB,1983,23313168,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1984,24871633,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1985,26649540,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1986,29199897,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1987,27709488,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1988,25540486,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1989,21466962.000000004,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1990,23110051.999999993,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1991,26278036.999999993,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1992,25222627.000000015,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1993,21050308.99999998,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1994,18966534.134636693,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1995,18717019.74451427,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1996,22870121.265556574,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1997,18256612.04080039,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1998,17507705.58479127,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,1999,15637455.2624598,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2000,13086136.81904851,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2001,19484785.85555145,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2002,24859627.70400593,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2003,27972833.510596883,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2004,27242889.043258306,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2005,27588603.608457964,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2006,31135972.76039088,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2007,28803067.9967783,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2008,23090465.514919367,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2009,20526363.256562583,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2010,23183428.31880623,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2011,24722502.817879714,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2012,26286402.604170058,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2013,27610382.429762736,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2014,24908405.053357404,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2015,27719326.069970004,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2016,27047500.943662647,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2017,28499864.27201695,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2018,28736724.406339988,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2019,28132787.50496394,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2020,23474371,Council Managed,USD,Benthivore Council Managed
Benthivore,MAB,2021,24616038.000000007,Council Managed,USD,Benthivore Council Managed
