"Region","EWE","YEAR","tot.biomass","AREA","kg.km2"
"mab.shallow","Alosines",1972,51413.345619836,14333.6689136481,3.58689362294965
"mab.shallow","Anchovies",1972,266018.869189079,14333.6689136481,18.5590214753589
"mab.shallow","Atlantic cod (L)",1972,269214.292714468,14333.6689136481,18.781952780989
"mab.shallow","Atlantic croaker",1972,172927.098625993,14333.6689136481,12.0643988407837
"mab.shallow","Atlantic menhaden (L)",1972,78601.558398474,14333.6689136481,5.4837012681123
"mab.shallow","Atlantic menhaden (S)",1972,1902.97955521683,14333.6689136481,0.132762907158046
"mab.shallow","Bluefish (L)",1972,160968.049364895,14333.6689136481,11.2300661006357
"mab.shallow","Bluefish (S)",1972,55323.9504169637,14333.6689136481,3.8597201282001
"mab.shallow","Butterfish",1972,379478.306000391,14333.6689136481,26.4746108122438
"mab.shallow","Demersal benthivores - other",1972,12119952.7987451,14333.6689136481,845.558305536469
"mab.shallow","Demersal omnivores - other",1972,312209.777058416,14333.6689136481,21.7815675064979
"mab.shallow","Demersal piscivores - other",1972,6796080.38229009,14333.6689136481,474.134042249228
"mab.shallow","Hakes (S)",1972,713774.944312175,14333.6689136481,49.7970860504904
"mab.shallow","Medium pelagics - other",1972,0,14333.6689136481,0
"mab.shallow","Mesopelagics",1972,3963.42913117891,14333.6689136481,0.276511837622051
"mab.shallow","Skates",1972,14181133.8155198,14333.6689136481,989.358265560115
"mab.shallow","Small pelagic - other",1972,427102.306481106,14333.6689136481,29.7971377080178
"mab.shallow","Spiny dogfish (L)",1972,41909495.1371989,14333.6689136481,2923.84981051808
"mab.shallow","Spiny dogfish (S)",1972,41480.8695966928,14333.6689136481,2.89394640315683
"mab.shallow","Squid",1972,910334.959840962,14333.6689136481,63.5102544453337
"mab.shallow","Summer flounder (L)",1972,2610331.05457189,14333.6689136481,182.111856377986
"mab.shallow","Summer flounder (S)",1972,483945.170614978,14333.6689136481,33.7628260796634
"mab.shallow","Weakfish (L)",1972,1327865.60479653,14333.6689136481,92.6396174486895
"mab.shallow","Weakfish (M)",1972,1438026.67009864,14333.6689136481,100.325093230624
"mab.shallow","Weakfish (S)",1972,1662055.03792509,14333.6689136481,115.954613430657
"mab.shallow","Anchovies",1973,9633575.92702312,14333.6689136481,672.094212937366
"mab.shallow","Atlantic croaker",1973,13785312.8912709,14333.6689136481,961.743498773363
"mab.shallow","Atlantic menhaden (M)",1973,4737.00521437106,14333.6689136481,0.330480998473504
"mab.shallow","Bluefish (M)",1973,106591.155341578,14333.6689136481,7.43641812739826
"mab.shallow","Bluefish (S)",1973,796557.311318343,14333.6689136481,55.5724648111471
"mab.shallow","Butterfish",1973,10158694.6409463,14333.6689136481,708.729544553206
"mab.shallow","Demersal benthivores - other",1973,118603001.626258,14333.6689136481,8274.43429458088
"mab.shallow","Demersal omnivores - other",1973,1082200.46530077,14333.6689136481,75.50059038062
"mab.shallow","Demersal piscivores - other",1973,29914091.482059,14333.6689136481,2086.98077667858
"mab.shallow","Hakes (S)",1973,1239899.78746201,14333.6689136481,86.5026110852479
"mab.shallow","Medium pelagics - other",1973,108019.182042738,14333.6689136481,7.53604556471129
"mab.shallow","Mesopelagics",1973,2813.39049773561,14333.6689136481,0.196278462596327
"mab.shallow","Skates",1973,14386971.8411436,14333.6689136481,1003.71872183016
"mab.shallow","Small pelagic - other",1973,864355.540247755,14333.6689136481,60.3024630647594
"mab.shallow","Spiny dogfish (L)",1973,25551641.5846162,14333.6689136481,1782.63093270465
"mab.shallow","Spiny dogfish (S)",1973,366681.512692913,14333.6689136481,25.5818321814152
"mab.shallow","Squid",1973,3769278.4332901,14333.6689136481,262.966757220205
"mab.shallow","Summer flounder (L)",1973,6947297.54200097,14333.6689136481,484.68382964992
"mab.shallow","Summer flounder (S)",1973,420590.983865548,14333.6689136481,29.3428700215807
"mab.shallow","Weakfish (L)",1973,906359.212381536,14333.6689136481,63.2328832095826
"mab.shallow","Weakfish (M)",1973,4824486.05777547,14333.6689136481,336.584170238628
"mab.shallow","Weakfish (S)",1973,2802879.6476919,14333.6689136481,195.545164645395
"mab.shallow","Alosines",1974,0,14333.6689136481,0
"mab.shallow","Anchovies",1974,41009751.1938395,14333.6689136481,2861.07844690003
"mab.shallow","Atlantic croaker",1974,52482758.4289515,14333.6689136481,3661.50207215815
"mab.shallow","Atlantic mackerel",1974,38432.4296130402,14333.6689136481,2.68126952314672
