"Region","EWE","YEAR","tot.biomass","AREA","kg.km2"
"gb.deep","Alosines",1963,2374856.33826139,26673.9112425505,89.032924968011
"gb.deep","Atlantic cod (L)",1963,45668732.8777676,26673.9112425505,1712.11235062207
"gb.deep","Atlantic cod (M)",1963,2883639.69255497,26673.9112425505,108.107118837336
"gb.deep","Atlantic herring",1963,57592873.8717554,26673.9112425505,2159.14619149975
"gb.deep","Atlantic mackerel",1963,54335.4867287459,26673.9112425505,2.03702734985746
"gb.deep","Butterfish",1963,2437940.4081983,26673.9112425505,91.3979350845732
"gb.deep","Demersal benthivores - other",1963,51697061.6089438,26673.9112425505,1938.11328000807
"gb.deep","Demersal piscivores - other",1963,43094202.2503567,26673.9112425505,1615.59367347719
"gb.deep","Haddock",1963,270914863.953121,26673.9112425505,10156.5481525992
"gb.deep","Hakes (L)",1963,47315104.8185946,26673.9112425505,1773.83453024006
"gb.deep","Hakes (S)",1963,242103238.851376,26673.9112425505,9076.40565531949
"gb.deep","Mesopelagics",1963,50268.2804794847,26673.9112425505,1.88454853967183
"gb.deep","Skates",1963,129676686.268874,26673.9112425505,4861.55498868168
"gb.deep","Small pelagic - other",1963,5378352.68288522,26673.9112425505,201.633447527771
"gb.deep","Spiny dogfish (L)",1963,8217743.98413767,26673.9112425505,308.081702357494
"gb.deep","Spiny dogfish (S)",1963,4530841.90635844,26673.9112425505,169.860425235681
"gb.deep","Squid",1963,0,26673.9112425505,0
"gb.deep","Yellowtail flounder (L)",1963,23531024.6640581,26673.9112425505,882.173763348254
"gb.deep","Yellowtail flounder (S)",1963,253168.653320543,26673.9112425505,9.49124599757555
"gb.deep","Alosines",1964,916093.228987624,26673.9112425505,34.3441657527248
"gb.deep","Atlantic cod (L)",1964,30971615.4789132,26673.9112425505,1161.12013709886
"gb.deep","Atlantic cod (M)",1964,3088883.42359686,26673.9112425505,115.80166836086
"gb.deep","Atlantic herring",1964,8945632.66901795,26673.9112425505,335.370114554021
"gb.deep","Butterfish",1964,7684149.79364258,26673.9112425505,288.077354826942
"gb.deep","Demersal benthivores - other",1964,23977275.7762516,26673.9112425505,898.903635024578
"gb.deep","Demersal piscivores - other",1964,77773090.9509,26673.9112425505,2915.69879811385
"gb.deep","Haddock",1964,464852578.465466,26673.9112425505,17427.2372071152
"gb.deep","Hakes (L)",1964,18366161.0788951,26673.9112425505,688.543982616136
"gb.deep","Hakes (S)",1964,26030531.2576858,26673.9112425505,975.879803339885
"gb.deep","Mesopelagics",1964,0,26673.9112425505,0
"gb.deep","Skates",1964,119682727.189632,26673.9112425505,4486.88331086266
"gb.deep","Small pelagic - other",1964,26261.1413800554,26673.9112425505,0.984525334183586
"gb.deep","Spiny dogfish (L)",1964,9929861.97277118,26673.9112425505,372.268689150129
"gb.deep","Spiny dogfish (S)",1964,172568.377654953,26673.9112425505,6.46955656730497
"gb.deep","Squid",1964,2724624.83470835,26673.9112425505,102.145681221357
"gb.deep","Yellowtail flounder (L)",1964,30132225.8863854,26673.9112425505,1129.65157649314
"gb.deep","Yellowtail flounder (S)",1964,127776.999639381,26673.9112425505,4.79033608822801
"gb.deep","Alosines",1965,658803.238800045,26673.9112425505,24.6984115981129
"gb.deep","Atlantic cod (L)",1965,22816656.072947,26673.9112425505,855.392216967028
"gb.deep","Atlantic cod (M)",1965,5997986.36993034,26673.9112425505,224.863399873742
"gb.deep","Atlantic cod (S)",1965,34308.7602290016,26673.9112425505,1.28622907668193
"gb.deep","Atlantic herring",1965,30226787.9360061,26673.9112425505,1133.19669024721
"gb.deep","Atlantic mackerel",1965,422529.300443094,26673.9112425505,15.8405453403875
"gb.deep","Butterfish",1965,491371.171250181,26673.9112425505,18.4214143468521
"gb.deep","Demersal benthivores - other",1965,40293413.2094532,26673.9112425505,1510.5926102497
"gb.deep","Demersal piscivores - other",1965,89314208.9441142,26673.9112425505,3348.37317752033
"gb.deep","Haddock",1965,266636594.254615,26673.9112425505,9996.15661273075
"gb.deep","Hakes (L)",1965,7573726.89827512,26673.9112425505,283.937620898784
"gb.deep","Hakes (S)",1965,16387622.5559961,26673.9112425505,614.36893925981
"gb.deep","Mesopelagics",1965,0,26673.9112425505,0
"gb.deep","Skates",1965,117206473.111418,26673.9112425505,4394.04900337407
"gb.deep","Small pelagic - other",1965,309234.890558921,26673.9112425505,11.5931588639924
"gb.deep","Spiny dogfish (L)",1965,10706715.6263805,26673.9112425505,401.39278896981
"gb.deep","Spiny dogfish (S)",1965,259514.872936963,26673.9112425505,9.72916459746562
"gb.deep","Squid",1965,2238566.06644051,26673.9112425505,83.9234278799549
"gb.deep","Yellowtail flounder (L)",1965,19993432.6366316,26673.9112425505,749.550092404067
"gb.deep","Yellowtail flounder (S)",1965,119843.119233059,26673.9112425505,4.49289637891137
"gb.deep","Alosines",1966,809714.385773598,26673.9112425505,30.3560425919815
"gb.deep","Atlantic cod (L)",1966,30259902.2001259,26673.9112425505,1134.43813788564
"gb.deep","Atlantic cod (M)",1966,8694588.74528373,26673.9112425505,325.958524275736
"gb.deep","Atlantic cod (S)",1966,85227.1971605833,26673.9112425505,3.19515186151733
"gb.deep","Atlantic herring",1966,79046716.6282696,26673.9112425505,2963.44678924227
"gb.deep","Atlantic mackerel",1966,537941.059819245,26673.9112425505,20.1673108577011
"gb.deep","Butterfish",1966,0,26673.9112425505,0
"gb.deep","Demersal benthivores - other",1966,32218367.9990328,26673.9112425505,1207.86065853131
"gb.deep","Demersal piscivores - other",1966,137451787.6568,26673.9112425505,5153.04210195974
"gb.deep","Haddock",1966,173403326.266767,26673.9112425505,6500.85863636497
"gb.deep","Hakes (L)",1966,16383343.7501108,26673.9112425505,614.208527618398
"gb.deep","Hakes (S)",1966,12494964.2114336,26673.9112425505,468.433897744306
"gb.deep","Mesopelagics",1966,818185.040074709,26673.9112425505,30.6736058553547
"gb.deep","Skates",1966,85088278.226829,26673.9112425505,3189.94381637948
"gb.deep","Small pelagic - other",1966,32921727.2084148,26673.9112425505,1234.22946522734
"gb.deep","Spiny dogfish (L)",1966,3745582.50178322,26673.9112425505,140.421195366663
"gb.deep","Spiny dogfish (S)",1966,57349.5178681197,26673.9112425505,2.15002281992433
"gb.deep","Squid",1966,4808371.64826682,26673.9112425505,180.264963939613
"gb.deep","Yellowtail flounder (L)",1966,5419368.90152856,26673.9112425505,203.171137980077
"gb.deep","Yellowtail flounder (S)",1966,250787.14699244,26673.9112425505,9.40196376571805
"gb.deep","Alosines",1967,1444692.74732344,26673.9112425505,54.1612639476302
"gb.deep","Atlantic cod (L)",1967,27200222.7571758,26673.9112425505,1019.73132135889
"gb.deep","Atlantic cod (M)",1967,6502466.16354798,26673.9112425505,243.776254049131
"gb.deep","Atlantic cod (S)",1967,5761.7982581372,26673.9112425505,0.216008751238023
"gb.deep","Atlantic herring",1967,33087460.9246169,26673.9112425505,1240.44279160063
"gb.deep","Atlantic mackerel",1967,611323.551622202,26673.9112425505,22.9184069056589
"gb.deep","Butterfish",1967,2748749.21199902,26673.9112425505,103.050099664956
"gb.deep","Demersal benthivores - other",1967,17659394.7837016,26673.9112425505,662.047444903059
"gb.deep","Demersal piscivores - other",1967,16951928.8380044,26673.9112425505,635.524677421977
"gb.deep","Haddock",1967,91886301.2939677,26673.9112425505,3444.80044409047
"gb.deep","Hakes (L)",1967,8798036.78178365,26673.9112425505,329.836772034726
"gb.deep","Hakes (S)",1967,7424383.77936711,26673.9112425505,278.338774987136
"gb.deep","Mesopelagics",1967,0,26673.9112425505,0
"gb.deep","Skates",1967,46925656.1245264,26673.9112425505,1759.23417071547
"gb.deep","Spiny dogfish (L)",1967,2247862.27009539,26673.9112425505,84.271940835942
"gb.deep","Spiny dogfish (S)",1967,412588.088867605,26673.9112425505,15.4678511567302
"gb.deep","Squid",1967,6534134.37543611,26673.9112425505,244.963489456799
"gb.deep","Yellowtail flounder (L)",1967,12657737.7418382,26673.9112425505,474.536247299436
"gb.deep","Yellowtail flounder (S)",1967,126982.502239482,26673.9112425505,4.76055052762257
"gb.deep","Alosines",1968,187388.927797945,26673.9112425505,7.02517625158099
"gb.deep","Atlantic cod (L)",1968,19953139.1667248,26673.9112425505,748.039497668242
"gb.deep","Atlantic cod (M)",1968,2350574.40834062,26673.9112425505,88.1225999054447
"gb.deep","Atlantic cod (S)",1968,436.067390056842,26673.9112425505,0.0163480858165721
"gb.deep","Atlantic herring",1968,3626122.7587531,26673.9112425505,135.942671690707
"gb.deep","Atlantic mackerel",1968,3899465.96307599,26673.9112425505,146.190257874725
"gb.deep","Butterfish",1968,1095214.37603923,26673.9112425505,41.0593844329859
"gb.deep","Demersal benthivores - other",1968,36818399.4945111,26673.9112425505,1380.3149886687
"gb.deep","Demersal piscivores - other",1968,28889038.6980578,26673.9112425505,1083.04471869028
"gb.deep","Haddock",1968,80453557.3910906,26673.9112425505,3016.18898929041
"gb.deep","Hakes (L)",1968,4128774.6438498,26673.9112425505,154.786997913659
"gb.deep","Hakes (S)",1968,11245655.4987075,26673.9112425505,421.597545123727
"gb.deep","Mesopelagics",1968,6702.37634660459,26673.9112425505,0.251270849844956
"gb.deep","Skates",1968,89563340.7717074,26673.9112425505,3357.71308366787
"gb.deep","Small pelagic - other",1968,133377.289297431,26673.9112425505,5.00028991191462
"gb.deep","Spiny dogfish (L)",1968,48585347.3763545,26673.9112425505,1821.45568883991
"gb.deep","Spiny dogfish (S)",1968,2875625.11031792,26673.9112425505,107.806653631309
"gb.deep","Squid",1968,2682668.95727986,26673.9112425505,100.572763134956
"gb.deep","Yellowtail flounder (L)",1968,21273159.1374945,26673.9112425505,797.5268022771
"gb.deep","Yellowtail flounder (S)",1968,333884.493116996,26673.9112425505,12.5172679057423
"gb.deep","Alosines",1969,404166.269299339,26673.9112425505,15.152118698461
"gb.deep","Atlantic cod (L)",1969,23628361.2986308,26673.9112425505,885.8228957791
"gb.deep","Atlantic cod (M)",1969,910814.92815444,26673.9112425505,34.1462832305409
"gb.deep","Atlantic cod (S)",1969,8637.49633888612,26673.9112425505,0.323818140517296
"gb.deep","Atlantic herring",1969,4545540.71964329,26673.9112425505,170.411481027656
"gb.deep","Atlantic mackerel",1969,1270444.18987443,26673.9112425505,47.6287177505415
"gb.deep","Butterfish",1969,2548849.26991939,26673.9112425505,95.5558878014647
"gb.deep","Demersal benthivores - other",1969,30368058.8631047,26673.9112425505,1138.49291118061
"gb.deep","Demersal piscivores - other",1969,16315087.906709,26673.9112425505,611.649628670991
"gb.deep","Haddock",1969,47469041.7829308,26673.9112425505,1779.60559856732
"gb.deep","Hakes (L)",1969,3038178.17917388,26673.9112425505,113.900738123749
"gb.deep","Hakes (S)",1969,5185032.89375021,26673.9112425505,194.385924381385
"gb.deep","Medium pelagics - other",1969,18899.2168748602,26673.9112425505,0.708528145835317
"gb.deep","Mesopelagics",1969,8042.85161592551,26673.9112425505,0.301525019813947
"gb.deep","Skates",1969,60779447.7426021,26673.9112425505,2278.6102566633
"gb.deep","Small pelagic - other",1969,0,26673.9112425505,0
"gb.deep","Spiny dogfish (L)",1969,2715782.46538654,26673.9112425505,101.814182430595
"gb.deep","Spiny dogfish (S)",1969,4644064.05649632,26673.9112425505,174.10510270755
"gb.deep","Squid",1969,9590092.63997537,26673.9112425505,359.53079969304
"gb.deep","Yellowtail flounder (L)",1969,13275408.591334,26673.9112425505,497.69261322865
"gb.deep","Yellowtail flounder (S)",1969,151727.956908029,26673.9112425505,5.68825304726931
"gb.deep","Alosines",1970,1330964.87238235,26673.9112425505,49.8976269464066
"gb.deep","Atlantic cod (L)",1970,29913647.0876786,26673.9112425505,1121.45709774875
"gb.deep","Atlantic cod (M)",1970,4583746.15422588,26673.9112425505,171.843795705289
"gb.deep","Atlantic cod (S)",1970,26902.003435055,26673.9112425505,1.00855113411867
"gb.deep","Atlantic herring",1970,3620706.75491354,26673.9112425505,135.739626708277
"gb.deep","Atlantic mackerel",1970,3172703.24894648,26673.9112425505,118.944058113433
"gb.deep","Butterfish",1970,5870668.42024857,26673.9112425505,220.090273483538
"gb.deep","Demersal benthivores - other",1970,73234456.7746721,26673.9112425505,2745.54624212169
"gb.deep","Demersal piscivores - other",1970,50140418.6967607,26673.9112425505,1879.75502508144
"gb.deep","Haddock",1970,186804056.028072,26673.9112425505,7003.24951708169
"gb.deep","Hakes (L)",1970,13016221.5433008,26673.9112425505,487.975738726203
"gb.deep","Hakes (S)",1970,12509261.6738154,26673.9112425505,468.969906965144
"gb.deep","Medium pelagics - other",1970,0,26673.9112425505,0
"gb.deep","Mesopelagics",1970,0,26673.9112425505,0
"gb.deep","Skates",1970,83649847.0745184,26673.9112425505,3136.017298471
"gb.deep","Small pelagic - other",1970,37229.1337692142,26673.9112425505,1.39571334067521
"gb.deep","Spiny dogfish (L)",1970,106359543.091485,26673.9112425505,3987.39960271815
"gb.deep","Spiny dogfish (S)",1970,1653039.89068984,26673.9112425505,61.9721598253237
"gb.deep","Squid",1970,7056072.85670274,26673.9112425505,264.530866603725
"gb.deep","Yellowtail flounder (L)",1970,38900032.391758,26673.9112425505,1458.35502105534
"gb.deep","Yellowtail flounder (S)",1970,100863.662904688,26673.9112425505,3.78136007080167
"gb.deep","Alosines",1971,340486.251528317,26673.9112425505,12.7647666077995
"gb.deep","Atlantic cod (L)",1971,116338477.698213,26673.9112425505,4361.50801584091
"gb.deep","Atlantic cod (M)",1971,1593995.01362503,26673.9112425505,59.7585783026175
"gb.deep","Atlantic cod (S)",1971,22265.9864713553,26673.9112425505,0.834747715432011
"gb.deep","Atlantic herring",1971,9510778.82067209,26673.9112425505,356.557339273904
"gb.deep","Atlantic mackerel",1971,71382.8173574933,26673.9112425505,2.6761286227729
"gb.deep","Bluefish (L)",1971,609397.218958458,26673.9112425505,22.8461890503085
"gb.deep","Butterfish",1971,3217367.25696908,26673.9112425505,120.618503515026
"gb.deep","Demersal benthivores - other",1971,28034507.7333432,26673.9112425505,1051.00851084119
"gb.deep","Demersal piscivores - other",1971,33949394.0362403,26673.9112425505,1272.75650456855
"gb.deep","Haddock",1971,60085101.7684035,26673.9112425505,2252.57935448758
"gb.deep","Hakes (L)",1971,7288252.14983803,26673.9112425505,273.235225369264
"gb.deep","Hakes (S)",1971,66407529.6531958,26673.9112425505,2489.60600675846
"gb.deep","Mesopelagics",1971,18899.2168748601,26673.9112425505,0.708528145835317
"gb.deep","Skates",1971,98983052.2348294,26673.9112425505,3710.8563245472
"gb.deep","Small pelagic - other",1971,30475.5199469219,26673.9112425505,1.14252160734144
"gb.deep","Spiny dogfish (L)",1971,4273906.00175552,26673.9112425505,160.227945684161
"gb.deep","Spiny dogfish (S)",1971,3046164.94968957,26673.9112425505,114.200160673486
"gb.deep","Squid",1971,5378587.88737816,26673.9112425505,201.642265300717
"gb.deep","Yellowtail flounder (L)",1971,11292209.716111,26673.9112425505,423.342854125476
"gb.deep","Yellowtail flounder (S)",1971,89327.9098826105,26673.9112425505,3.34888682317101
"gb.deep","Alosines",1972,222821.15850728,26673.9112425505,8.35352402882082
"gb.deep","Atlantic cod (L)",1972,47865842.1566914,26673.9112425505,1794.48157120412
"gb.deep","Atlantic cod (M)",1972,11434988.9775613,26673.9112425505,428.695622234812
"gb.deep","Atlantic cod (S)",1972,194126.403169016,26673.9112425505,7.27776295736275
"gb.deep","Atlantic herring",1972,12974834.6512191,26673.9112425505,486.424151795237
"gb.deep","Atlantic mackerel",1972,1438667.71005821,26673.9112425505,53.9353864146938
"gb.deep","Bluefish (L)",1972,298588.389552087,26673.9112425505,11.1940235099746
"gb.deep","Butterfish",1972,895473.570685781,26673.9112425505,33.5711385759322
"gb.deep","Demersal benthivores - other",1972,48757781.6656656,26673.9112425505,1827.92021846
"gb.deep","Demersal piscivores - other",1972,20110673.3342422,26673.9112425505,753.945424477585
"gb.deep","Haddock",1972,42866798.1172481,26673.9112425505,1607.06833457804
"gb.deep","Hakes (L)",1972,6082243.40095789,26673.9112425505,228.022180386333
"gb.deep","Hakes (S)",1972,11634816.3252014,26673.9112425505,436.187112546188
"gb.deep","Medium pelagics - other",1972,0,26673.9112425505,0
"gb.deep","Mesopelagics",1972,0,26673.9112425505,0
"gb.deep","Skates",1972,121697398.146848,26673.9112425505,4562.41295250001
"gb.deep","Small pelagic - other",1972,0,26673.9112425505,0
"gb.deep","Spiny dogfish (L)",1972,34191870.5624642,26673.9112425505,1281.84690469844
"gb.deep","Spiny dogfish (S)",1972,3811813.48788204,26673.9112425505,142.904182788214
"gb.deep","Squid",1972,10073992.0888538,26673.9112425505,377.672100549829
"gb.deep","Yellowtail flounder (L)",1972,16442678.5171912,26673.9112425505,616.432977064182
"gb.deep","Yellowtail flounder (S)",1972,72847.3164591128,26673.9112425505,2.73103242328054
"gb.deep","Alosines",1973,1748254.63075796,26673.9112425505,65.5417428235692
